name,description,location
Taj Mahal,"The Taj Mahal (/ˌtɑːdʒ məˈhɑːl, ˌtɑːʒ-/;  lit. 'Crown of the Palace') is an Islamic ivory-white marble mausoleum on the right bank of the river Yamuna  in the Indian city of Agra. It was commissioned in 1631 by the Mughal emperor Shah Jahan (r. 1628–1658) to house the tomb of his favourite wife, Mumtaz Mahal; it also houses the tomb of Shah Jahan himself. The tomb is the centrepiece of a 17-hectare (42-acre) complex, which includes a mosque and a guest house, and is set in formal gardens bounded on three sides by a crenellated wall.


Construction of the mausoleum was essentially completed in 1643, but work continued on other phases of the project for another 10 years. The Taj Mahal complex is believed to have been completed in its entirety in 1653 at a cost estimated at the time to be around ₹32 million, which in 2020 would be approximately ₹70 billion (about US $1 billion). The construction project employed some 20,000 artisans under the guidance of a board of architects led by Ustad Ahmad Lahauri, the emperor’s court architect. Various types of symbolism have been employed in the Taj to reflect natural beauty and divinity.


The Taj Mahal was designated as a UNESCO World Heritage Site in 1983 for being ""the jewel of Muslim art in India and one of the universally admired masterpieces of the world's heritage"". It is regarded by many as the best example of Mughal architecture and a symbol of India's rich history. The Taj Mahal attracts more than 6 million visitors a year and in 2007, it was declared a winner of the New 7 Wonders of the World (2000–2007) initiative.


Abdul Hamid Lahauri, in his book from 1636 Padshahnama, refers to the Taj Mahal as rauza-i munawwara (Perso-Arabic: روضه منواره, rawdah-i munawwarah), meaning the illumined or illustrious tomb.
The current name for the Taj Mahal is believed to be derived from the Persian تاج محل tāj mahall, meaning ""crown"" (tāj) ""palace"" (mahall). The name ""Taj"" came from the corruption of the second syllable of ""Mumtaz"".


The Taj Mahal was commissioned by Shah Jahan in 1631, to be built in the memory of his wife Mumtaz Mahal, who died on 17 June that year, while giving birth to their 14th child, Gauhara Begum. Construction started in 1632, and the mausoleum was completed in 1648, while the surrounding buildings and garden were finished five years later. The imperial court documenting Shah Jahan's grief after the death of Mumtaz Mahal illustrates the love story held as the inspiration for the Taj Mahal.

",27.17500°N 78.04194°E
Yellowstone National Park,"Yellowstone National Park is an American national park located in the western United States, largely in the northwest corner of Wyoming and extending into Montana and Idaho. It was established by the 42nd U.S. Congress with the Yellowstone National Park Protection Act and signed into law by President Ulysses S. Grant on March 1, 1872. Yellowstone was the first national park in the U.S. and is also widely held to be the first national park in the world. The park is known for its wildlife and its many geothermal features, especially the Old Faithful geyser, one of its most popular. While it represents many types of biomes, the subalpine forest is the most abundant. It is part of the South Central Rockies forests ecoregion.


While Native Americans have lived in the Yellowstone region for at least 11,000 years, aside from visits by mountain men during the early-to-mid-19th century, organized exploration did not begin until the late 1860s. Management and control of the park originally fell under the jurisdiction of the United States Department of the Interior, the first Secretary of the Interior to supervise the park being Columbus Delano. However, the U.S. Army was eventually commissioned to oversee the management of Yellowstone for 30 years between 1886 and 1916. In 1917, administration of the park was transferred to the National Park Service, which had been created the previous year. Hundreds of structures have been built and are protected for their architectural and historical significance, and researchers have examined more than a thousand archaeological sites.


Yellowstone National Park spans an area of 3,468.4 sq mi (8,983 km), comprising lakes, canyons, rivers, and mountain ranges. Yellowstone Lake is one of the largest high-elevation lakes in North America and is centered over the Yellowstone Caldera, the largest supervolcano on the continent. The caldera is considered a dormant volcano. It has erupted with tremendous force several times in the last two million years. Well over half of the world's geysers and hydrothermal features are in Yellowstone, fueled by this ongoing volcanism. Lava flows and rocks from volcanic eruptions cover most of the land area of Yellowstone. The park is the centerpiece of the Greater Yellowstone Ecosystem, the largest remaining nearly-intact ecosystem in the Earth's northern temperate zone. In 1978, Yellowstone was named a UNESCO World Heritage Site.


Hundreds of species of mammals, birds, fish, reptiles, and amphibians have been documented, including several that are either endangered or threatened. The vast forests and grasslands also include unique species of plants. Yellowstone Park is the largest, and most famous megafauna location in the contiguous United States. Grizzly bears, wolves, and free-ranging herds of bison and elk live in this park. The Yellowstone Park bison herd is the oldest and largest public bison herd in the United States. Forest fires occur in the park each year; in the large forest fires of 1988, nearly one-third of the park was burnt. Yellowstone has numerous recreational opportunities, including hiking, camping, boating, fishing, and sightseeing. Paved roads provide close access to the major geothermal areas as well as some of the lakes and waterfalls. During the winter, visitors often access the park by way of guided tours that use either snow coaches or snowmobiles.


The park contains the headwaters of the Yellowstone River, from which it takes its historical name. Near the end of the 18th century, French trappers named the river Roche Jaune, which is probably a translation of the Hidatsa name Mi tsi a-da-zi (""Yellow Stone River""). Later, American trappers rendered the French name in English as ""Yellow Stone"". Although it is commonly believed that the river was named for the yellow rocks seen in the Grand Canyon of the Yellowstone, the Native American name source is unclear.

",44.59639°N 110.54722°W
Isha Foundation,"Isha Foundation is a nonprofit, spiritual organisation founded in 1992 near Coimbatore, Tamil Nadu, India, by Sadhguru Jaggi Vasudev. It hosts the Isha Yoga Centre, which offers yoga programs under the name Isha Yoga. The foundation is run ""almost entirely"" by volunteers. The word isha means ""the formless divine"".


The Yoga Centre, founded at Isha Foundation in 1994, offers yoga programmes under the name Isha Yoga. This customised system of yoga combines postural yoga with chanting, breathing (prāṇāyāma) and meditation. It does not belong to a lineage (paramparā), and its practitioners believe it to be based on the founding guru's unique insight.


Yoga classes for business leaders are intended to ""introduce a sense of compassion and inclusiveness"" to economics.


A yoga course for the Indian national hockey team was conducted in 1996. Isha Foundation began conducting yoga programs in the United States in 1997 and, in 1998, yoga classes for life-term prisoners in Tamil Nadu prisons.


The foundation organises gatherings (sathsangs) with Vasudev in the Indian states of Tamil Nadu and Karnataka, where he delivers discourses, leads meditations, and conducts question-answer sessions. It organises annual pilgrimages (yatras) to Mount Kailash and the Himalayas. The Kailash-Manasarovar pilgrimage led by Vasudev is among the largest groups to visit Kailash, with 514 pilgrims making the journey in 2010. The trip cost up to Rs ₹5 million (US$63,000) per person in 2021, with cheaper options available in which devotees receive limited interaction with Vasudev.

",
Qutb Minar,"The Qutb Minar, also spelled Qutub Minar and Qutab Minar, is a minaret and ""victory tower"" that forms part of the Qutb complex, which lies at the site of Delhi’s oldest fortified city, Lal Kot, founded by the Tomar Rajputs. It is a UNESCO World Heritage Site in the Mehrauli area of South Delhi, India. It is one of the most visited tourist spots in the city, mostly built between 1199 and 1220.


It can be compared to the 62-metre all-brick Minaret of Jam in Afghanistan, of c. 1190, which was constructed a decade or so before the probable start of the Delhi tower. The surfaces of both are elaborately decorated with inscriptions and geometric patterns. The Qutb Minar has a shaft that is fluted with ""superb stalactite bracketing under the balconies"" at the top of each stage. In general, minarets were slow to be used in India and are often detached from the main mosque where they exist.


This victory tower is a symbol of the synthesis of traditional Islamic architecture and Southwestern Asian design. Elizabeth Lambourn’s Islam Beyond Empires: Mosques and Islamic Landscapes in India and the Indian Ocean studies the introduction of Islam in South Asia and how the region influenced the Islamic religious architecture. These newly arrived Muslims from the Islamic West escaped the Mongol Empire and emigrated to India, where they constructed religious centers. The Qutb Minar serves as a central marker to these new Muslim communities as well as being a reminder of Islam's presence in the area. The architecture of the minaret varies greatly from that of the typical style and design of the mosques constructed in the Middle East. The style of these structures is heavily influenced by the local architecture such as the Indic temples. This affected the different materials, techniques, and decoration that were used in the construction of the Qutb Minar.


The minaret is unique in that historically, these tower minarets were uncommon in South Asian-Islamic design until the 17th century. This lag is due to the slow adoption of the typical Middle Eastern style in India. It is also detached from the main mosque, showcasing how the native culture affected the design of a Middle Eastern structure. The Qutb Minar is seen as the ""earliest and best example of a fusion or synthesis of Hindu-Muslim traditions"" according to Ved Parkash in his essay The Qutb Minar from Contemporary and Near Contemporary Sources. Like many mosques built in South Asia during this time period, the minaret was constructed by Hindu laborers and craftsmen but overseen by Muslim architects. This led to a construction that synthesized both Hindu and Islamic religious architecture. Since the craftsmen were Hindu and unfamiliar with the Quran, the inscriptions are a compilation of disarranged Quranic texts and other Arabic expressions.



The Qutb Minar was built over the ruins of the Lal Kot, the citadel of Dhillika. Qutub Minar was begun after the Quwwat-ul-Islam Mosque, which was started around 1192 by Qutb-ud-din Aibak, first ruler of the Delhi Sultanate. 
",28.524355°N 77.185248°E
Firoz Minar,"Firoz Minar (also known as Firuz Minar) (English: Tower of Firoz/Firuz) is a five-storeyed tower situated at Gaur, West Bengal, India. It was built by Sultan Saifuddin Firuz Shah of the Habshi dynasty between 1485 and 1489. It was built in the Tughlaqi style of architecture. Although the first three storeys are dodecagonal, the final two are circular in shape.


Firoz Minor is located one kilometre away from the Dakhil Darwaza at the city of Gaur. Gaur is at a distance of 16 kilometres (9.9 mi) from the city of Malda and is situated at the Malda district in the Indian state of West Bengal.


The minar was built by Sultan Saifuddin Firuz Shah of the Habshi dynasty. The construction started in 1485 and ended in 1489. Colloquially, the tower is referred as Pir Asa Mandir and Chiragh Dani. The tower also commemorates Firuz Shah's victories in the battlefield. According to tradition, Firuz Shah threw the chief architect from the topmost storey as he was not satisfied with the minar's height and wanted it to be taller.


The minar resembles the Qutb Minar of Delhi. Firoz Minar is five storeyed structure. The first three stories are dodecagonal while the next two are circular in shape. The tower is 26 metres (85 ft) high and its circumference is 19 metres (62 ft). A spiral 73 step staircase leads to its top. Although there was a dome at the topmost storey, it was replaced by a flat roof due to restoration work.


The minar is built in Tughlaqi architecture and there are terracotta works on its walls. The tower sits on top of a masonry plinth.

",24.8737°N 88.1305°E
Fateh Burj,"The Fateh Burj (English: The Victory Tower; Punjabi: ਫਤਿਹ ਬੁਰਜ), a prominent tourist site in Punjab and the tallest tower in India, is situated in the historical village of Chappar Chiri in the SAS Nagar district (Mohali district) of Punjab state.  It was completed in 2011. The 328 feet (100 m) tower is dedicated to establishment of the Sikh Misls in a large part of Punjab in 1711. It is situated in Banda Singh Bahadur Road. It is situated just outside Mohali, a 140kilometres from Amritsar and 20 km from Sirhind.  It was here that Banda Singh Bahadur, one of the most respected and great Sikh warriors, won a decisive battle against Wazir Khan, commander of the Mughal army.


In 1710, Banda Singh Bahadur won the battle against Wazir Khan, who commanded the Mughal army at Chappar Chiri. Wazir Khan had planned to stop the march of the Sikh army led by Banda Singh Bahadur to Sirhind. He established his capital at Lohgarh.


Fateh burj Sahib view from its park


About Fatehburj On Fatehburj tower


Historical description of Fateh Burj

",30.70314°N 76.66792°E
Jog Falls,"(Raja (king), Rani (queen), Roarer, Rocket)


Jog Falls is a waterfall on the Sharavati river located in the Western Ghats running between Uttara Kannada and Shimoga districts of Karnataka, India. It is the third highest plunge waterfall in India. It is a segmented waterfall which depends on rain and season to become a plunge waterfall. The falls are major attractions for tourists and is ranked 36th in the list of free-falling waterfalls, 490th in the world by list of waterfalls by total height, 128th in the list of single-drop waterfalls in the World by the waterfall database.


Jog Falls is created by the Sharavati river dropping 253 m (830 ft), making it the third-highest waterfall in India after the Nohkalikai Falls with a drop of 335 m (1,099 ft) in Meghalaya and the Dudhsagar Falls with a drop of 310 m (1,020 ft) in Goa.


Sharavathi, a river which rises at Ambutirtha, next to Nonabur, in the Thirthahalli taluk takes a northwesterly course by Fatte petta, receives the Haridravati on the right below Pattaguppe and the Yenne Hole on the left above Barangi. Then, it bends to the west, precipitates itself down the Jog Falls (aka Gersoppa Falls), and passes the village of Gersoppa (properly Geru-Sappe), which is some 30 kilometres (19 mi) away, discharging into the Arabian Sea at Honnavar in Uttara Kannada.


The Sharavathi, flowing over a very rocky bed about 250 yards (230 m) wide, reaches a tremendous chasm, 290 m (950 ft) deep, and the water comes down in four distinct falls, Raja, Rani, Roarer and Rocket. The Raja Fall comes down in one unbroken column sheer to the depth of 250 m (830 ft). Halfway down, it is encountered by the Roarer, which precipitates itself into a vast cup and then rushes violently downwards to meet the Raja. The Rocket shoots downwards in a series of jets. The Rani moves quietly over the mountainside in a sheet of foam. The Tourism Department has built steps from the viewpoint at the top, where the waterfall can be seen from across, to the bottom of the hill. There are approximately 1,400 steps made to reach the bottom of the hill.

",
Vaishno Devi,"Vaishno Devi (also known as Mata Rani, Trikuta, Ambe and Vaishnavi) is a manifestation of the Hindu mother goddess Durga or Adi Shakti. The words ""Maa"" and ""Mata"" are commonly used in India for mother, and thus are often heavily used in connection with the goddess. Vaishno Devi took avatar from the combined energies of Mahakali, Mahalakshmi, and Mahasaraswati.


Author Abha Chauhan identifies Vaiṣṇō Dēvī with the power of Viṣṇu as well as the incarnation of Lakṣmī. Author Pintchman identifies with great goddess Mahadevi and says Vaiṣṇō Dēvī contains all powers and is associated with the entire creation as Mahadevi. Pintchman further states that, ""Pilgrims identify Vaiṣṇō Dēvī with Durgā — whom North Indians (and others) also name Sheranwali, ""the Lion-rider""— more than with any other goddess"".


In the Varāha Purāṇa's Trikalā Māhātmya, she originated from Trikala (the goddess who was born from Trimurtis) and slayed an asura called Mahisha.


It is said that Bhairav Nath, a famous Tantric, saw the young Vaishno Devi at an agricultural fair and fell madly in love with her. Vaishno Devi fled into Trikuta hills to escape his amorous advances, later she assumed the form of Mahakali and cut off his head with her sword in a cave. Professor and author Tracy Pintchman narrates the story as, ""About nine hundred years ago Vaishno Devi appeared in the form of a young girl and commanded a Brahmin named Shridhar from the village Hansali  (next to present day Katra) to hold a feast (bhandara) for local people near Bhumika stream. At the time of feast, Bhairav Nath, a disciple of Goraknath, appeared and demanded meat and liquor. But Vaishno Devi told him he would get only vegetarian food, since this was a Brahmin's feast. Seeing her, Bhairav Nath lusted after her. To escape him, she ran away stopping at various places on the trail up the Trikuta mountain. There places are now known as Banganga (Ganga river emerged from arrow), Charan Paduka (Holy footprints), Ardha Kunwari —the place where she is said to have remained for nine months in a cave, — and finally at Bhavan, the cave that is now known as her home. There taking the form of Chamundi (a form of Kali), she beheaded Bhairav Nath. His body held at the entrance to the cave, and his head landed further up the mountain at a place where a Bhairav Nath temple is now located. Bhairav Nath then repented, and the goddess granted him further salvation. In so doing, however, she laid down the condition that unless pilgrims coming for her darshana did not also get his darshana— that is, darshana of his head— then their pilgrimage would not be fruitful. Vaishno Devi later manifested into 3 small rocks (pindikas) and stays there to the present day. Shridhar began doing puja to the pindikas at the cave, and his descendants continue to do so even today"".


Professor and author Manohar Sajnani says, According to Hindu beliefs, the original abode of Vaishno Devi was Ardha Kunwari, a place about halfway between Katra town and the cave. She meditated in the cave for 9 months just like how a baby stays in its mother's womb for 9 months. It is said that when Bhairav Nath ran after Vaishno Devi to catch her.  The Devi reached near a cave in the hill, she called up Hanuman and told him that ""I would do penance in this cave for nine months, till then you should not allow Bhairav Nath to enter the cave."" Hanuman obeyed the mother's orders. Bhairavnath was kept outside this cave and today this holy cave is known as 'Ardha Kunwari'.

",
Amritsar,"Amritsar (Punjabi pronunciation: [əmːˈɾɪtsəɾ] (listen)), historically also known as Rāmdāspur  and colloquially as Ambarsar, is the second largest city in the Indian state of Punjab, after Ludhiana. It is a major cultural, transportation and economic centre, located in the Majha region of Punjab. The city is the administrative headquarters of the Amritsar district.


According to the United Nations, as of 2018, Amritsar is the second-most populous city in Punjab and the most populous metropolitan region in the state with a population of roughly 2 million. Amritsar is the centre of the Amritsar Metropolitan Region. 


According to the 2011 census, the population of Amritsar was 1,989,961. It is one of the ten Municipal Corporations in the state, and Karamjit Singh Rintu is the current Mayor of the city. The city is situated 217 km (135 mi) north-west of Chandigarh, 455 km (283 miles) north-west of New Delhi, and 47 km (29.2 miles) north-east of Lahore, Pakistan, with the Indo-Pak Border (Attari-Wagah) being only 28 km (17.4 mi) away.


Amritsar is the economic capital of Punjab. It is a major tourist centre with nearly a hundred thousand daily visitors. The city has been chosen as one of the heritage cities for HRIDAY scheme of the Government of India. Amritsar is home to Sri Harmandir Sahib, popularly known as ""the Golden Temple"", one of Sikhism religion's most spiritually significant and most-visited gurudwaras. The city is also known for Amritsari food, its wooden chessboards and chess pieces manufacturing industry.


The Bhagwan Valmiki Tirath Sthal situated at Amritsar is believed to be the Ashram site of Maharishi Valmiki, the writer of Ramayana. As per the Ramayana, Sita gave birth to Lava and Kusha, sons of lord Rama at Ramtirath ashram. Large number of people visit Ramtirath Temple at annual fair. Nearby cities to Amritsar, Lahore and Kasur were believed to be founded by Lava and Kusha, respectively. It is believed that During Ashvamedha Yajna by Lord Rama, Lava and Kush caught the ritual horse and tied Lord Hanuman to a tree near to today's Durgiana Temple.

",31.64°N 74.86°E
Sabarimala Temple,"The Sabarimala Sree Dharma Sastha Temple (Malayalam pronunciation: ​[ʃabəɾimala]; Malayalam: ശബരിമല ശ്രീ ധർമ്മശാസ്താ ക്ഷേത്രം) is a temple complex located at Sabarimala hill inside the Periyar Tiger Reserve in the Ranni-Perunad Village, Ranni Taluk,Pathanamthitta district, Kerala, India. It is one of the largest annual pilgrimage sites in the world with an estimate of over 10 to 15 million devotees visiting every year. The temple is dedicated to a Hindu Brahmachari (Celibate) deity Ayyappan also known as Dharma Shasta, who according to belief is the son of Shiva and Vishnu. The traditions of Sabarimala are a confluence of Shaivism, Vaishnavism, and other Śramaṇa traditions.


This Ayyappan Temple is situated on a hilltop amidst eighteen hills at an altitude of 487 m (1598 ft) above the mean sea level, and is surrounded by mountains and dense forests. The dense forest, part of the Periyar Tiger Reserve, around the temple is known as Poongavanam. Temples exist in each of the hills surrounding Sabarimala. While functional and intact temples exist at many places in the surrounding areas like Nilakkal, Kalaketty, and Karimala, remnants of old temples survive to this day on remaining hills.


In response to a PIL filed in 1991, the Kerala High Court had judged that the restriction of entry of women ages 10–50 to the temple was in accordance with the usage prevalent from time immemorial, and it directed the Devaswom Board to uphold the customary traditions of the temple and also concluded that ""since there is no restriction between one section and another section or between one class and another class among the Hindus in the matter of entry to a temple (Sabarimala) whereas the prohibition is only in respect of women of a particular age group and not women as a class."" However, On 28 September 2018, the Supreme Court of India, in a 4-1 majority decision (4 men and 1 woman judicial panel), overturned the ban on the entry of women. But the lone woman judge, Indu Malhotra noted in her dissenting judgement that ""what constitutes an essential religious practice is for the religious community to decide"" and not a matter that should be decided by the courts. She added that ""notions of rationality cannot be invoked in matters of religion by courts"". The Chief Justice, Dipak Misra, stated that the selective ban on women was not an ""essential part"" of Hinduism, and instead a form of ""religious patriarchy"". Justice Dhananjaya Y. Chandrachud stated that the ban ""stigamatises"" and ""stereotypes"" women, while ""placing the burden of men's celibacy"" on them. After supreme court verdict, the southern state of Kerala had witnessed huge protests and mass rallys. Devotees have filed around 65 review petition against 28 September 2018 order. Supreme Court of India even accepted a review petition against its own order. However considering the facts and circumstance of the matter, Supreme Court has accepted the review petition and decided to hear the proceeding in an open court. After Completion of the hearing in February 2019, the Court ordered under the new Chief Justice Mr. Ranjan Gagoi, to refer the matter to big bench comprising seven judges to re-consider the decision of 28 September 2018.


The temple is open for worship only during the days of Mandalapooja (approximately 15 November to 26 December), Makaravilakku or ""Makara Sankranti"" (14 January) and Maha Thirumal Sankranti (14 April), and the first five days of each Malayalam month. The pilgrimage includes a unique tradition, that of offering prayer at a mosque of Vavar, a Muslim devotee of Ayappan.


The worship of Shasta forms part of the ancient history of south India. At Sabarimala, the deity is worshiped as Ayyappan. The shrine of Sabarimala is an ancient temple. It is believed that the prince of Pandalam dynasty, an avatar of Shasta, meditated at Sabarimala temple and became one with the divine. The place where the prince meditated is the Manimandapam.

",9.434611°N 77.081389°E
